Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Adams,Luke,192,7/13/2012,Portland Dance Festival,"Portland, OR",Advanced,4,2,-1
L,Adams,Luke,192,10/16/2014,Paradise Festival,"Ontario, CA",Advanced,4,2,-1
L,Aguilar,Alphonso,256,12/5/2013,Las Vegas Finale,"Las Vegas, NV",Intermediate,6,0,-1
L,Aguilar,Alphonso,256,10/16/2014,Paradise Festival,"Ontario, CA",Intermediate,6,1,-1
L,Aguilar,Alphonso,256,10/20/2016,Paradise Festival,"Ontario, CA",Intermediate,8,1,-1
L,Aguilar,Alphonso,256,5/23/2013,FreZno Dance Classic,"Fresno, CA",Novice,4,4,-1
L,Aguilar,Alphonso,256,8/29/2013,South Bay Dance Fling,"San Jose, CA",Novice,6,0,-1
L,Alcala,Steve,475,10/17/2013,Paradise Festival,"Ontario, CA",Novice,4,2,-1
L,Alcala,Steve,475,10/19/2017,Paradise Festival,"Orange Co, CA",Novice,3,3,-1
L,Alcala,Steve,475,5/24/2018,FreZno Dance Classic,"Fresno, CA",Novice,4,4,-1
L,Alcala,Steve,475,5/23/2019,FreZno Dance Classic,"Fresno, CA",Novice,4,4,-1
L,Alcala,Steve,475,4/18/2019,San Diego Festival,"San Diego, CA",Novice,3,3,-1
L,Anderson,Mike,610,7/3/2015,Indy Dance Explosion,"Indianapolis, IN",Intermediate,5,0,-1
L,Anderson,Mike,610,7/3/2014,Indy Dance Explosion,"Indianapolis, IN",Newcomer,1,0,-1
L,Anthony,Kenneth,923,3/17/2016,Peach State Festival,"Atlanta, GA",Newcomer,4,0,-1
L,Anthony,Tony,1305,10/17/2019,Paradise Festival,"Orange Co, CA",Novice,6,1,-1
L,Arkoff,Dan,257,10/16/2014,Paradise Festival,"Ontario, CA",Masters,6,0,-1
L,Arkoff,Dan,257,10/22/2015,Paradise Festival,"Ontario, CA",Masters,3,0,-1
L,Arkoff,Dan,257,10/20/2016,Paradise Festival,"Ontario, CA",Masters,5,0,-1
L,Arkoff,Dan,257,10/19/2017,Paradise Festival,"Orange Co, CA",Masters,4,0,-1
L,Arkoff,Dan,257,10/18/2018,Paradise Festival,"Orange Co, CA",Masters,4,0,-1
L,Arkoff,Dan,257,3/29/2018,San Diego Festival,"San Diego, CA",Masters,3,0,-1
L,Arkoff,Dan,257,7/11/2019,Portland Dance Festival,"Portland, OR",Masters,3,0,-1
L,Arkoff,Dan,257,7/11/2019,Portland Dance Festival,"Portland, OR",Intermediate,3,3,-1
L,Arkoff,Dan,257,4/18/2019,San Diego Festival,"San Diego, CA",Intermediate,3,3,-1
L,Arkoff,Dan,257,10/16/2014,Paradise Festival,"Ontario, CA",Novice,6,0,-1
L,Arkoff,Dan,257,3/13/2015,High Desert Classic,"Lancaster, CA",Novice,5,1,-1
L,Arkoff,Dan,257,10/22/2015,Paradise Festival,"Ontario, CA",Novice,7,1,-1
L,Arkoff,Dan,257,3/11/2016,High Desert Classic,"Lancaster, CA",Novice,5,1,-1
L,Arkoff,Dan,257,10/19/2017,Paradise Festival,"Orange Co, CA",Novice,2,4,-1
L,Arkoff,Dan,257,5/24/2018,FreZno Dance Classic,"Fresno, CA",Novice,5,2,-1
