Role,Competitor Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,"Csuth, Steve",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,1,5,8
L,"Lambe, Travis",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,2,4,8
L,"Newsom, Luke",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,3,3,8
L,"Dafoe, Kyle",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,4,2,8
L,"Welch, Russell",1245,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,5,1,8
L,"Minty, Dominic",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,6,0,8
L,"McLaughlin, Quinn",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,7,0,8
L,"Baronet, Alexandre",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,8,0,8
F,"Muller, Elaine",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,1,5,8
F,"Siemens, Deavah",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,2,4,8
F,"Beattie, Christine",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,3,3,8
F,"Bannick, Pamela",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,4,2,8
F,"Hardington, Courtney",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,5,1,8
F,"Sweetland, Coralee",760,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,6,0,8
F,"Gustafson, Michelle",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,7,0,8
F,"Hayles, Daphnie",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Novice,8,0,8
L,"Funari, Anthony",1159,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,1,5,7
L,"Thompson, Joe",931,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,2,4,7
L,"Charlesworth, John",1185,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,3,3,7
L,"Greer, Rocky",1310,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,4,2,7
L,"Pollock, Michael",553,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,5,1,7
L,"Larochelle, Christian",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,6,0,7
F,"Larson, Melissa",517,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,1,5,7
F,"Grothe, Kathy",158,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,2,4,7
F,"Lamarche, Courtney",1046,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,3,3,7
F,"K, Anita",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,4,2,7
F,"Greer, Haley",99999,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,5,1,7
F,"Watson, Laura",1236,4/20/2023,Calgary Dance Stampede,"Calgary, AB",Intermediate,6,0,7
