Role,Competitor Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,"Morris, Zach",1260,5/27/2022,Texas Classic,"Austin, TX",Novice,1,10,17
L,"Mendence, Joe",1501,5/27/2022,Texas Classic,"Austin, TX",Novice,2,8,17
L,"Frankenberry, Chaz",1519,5/27/2022,Texas Classic,"Austin, TX",Novice,3,6,17
L,"Devereux, Thomas",1111,5/27/2022,Texas Classic,"Austin, TX",Novice,4,4,17
L,"Blum, Evan",1602,5/27/2022,Texas Classic,"Austin, TX",Novice,5,2,17
L,"Narvekar, Sanmit",1134,5/27/2022,Texas Classic,"Austin, TX",Novice,6,1,17
L,"Park, Bruce",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,7,1,17
L,"Martz, Luke",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,8,1,17
L,"Schuman, Scott",1564,5/27/2022,Texas Classic,"Austin, TX",Novice,9,1,17
L,"Stricklin, Justin",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,10,1,17
L,"Garick, Koby",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,11,0,17
L,"Makant, Jeff",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,12,0,17
L,"Jaskot, Trevor",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,13,0,17
F,"Silva, Jenna",1315,5/27/2022,Texas Classic,"Austin, TX",Novice,1,10,25
F,"Stokes, Sarah",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,2,8,25
F,"Montanio, Lisa",865,5/27/2022,Texas Classic,"Austin, TX",Novice,3,6,25
F,"Gorce, Jennifer",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,4,4,25
F,"Casazza, Kristina",1507,5/27/2022,Texas Classic,"Austin, TX",Novice,5,2,25
F,"Denis, Annmarie",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,6,1,25
F,"Vasturo, Stefanie",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,7,1,25
F,"Villarin, Jessica",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,8,1,25
F,"Dwyer, Heidi",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,9,1,25
F,"Katanski, Sofia",1506,5/27/2022,Texas Classic,"Austin, TX",Novice,10,1,25
F,"Longoria, Rinel",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,11,0,25
F,"Crandall, Kacee",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,12,0,25
F,"Pettengill, Krista",99999,5/27/2022,Texas Classic,"Austin, TX",Novice,13,0,25
