Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Brucker,Stefan,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,1,5,12
L,McKay,Scot,723,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,2,4,12
L,Webb,Eli,1539,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,3,3,12
L,Aguirre,Juan,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,4,2,12
L,Southernwood,Katrina,1401,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,5,1,12
L,Czechowski,Richard,444,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,6,0,12
L,Webb,Bradley,1540,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,7,0,12
L,Myres,David,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,8,0,12
F,Leon,Heather,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,1,10,16
F,Webb,Camie,1068,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,2,8,16
F,Marians,Liza,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,3,6,16
F,Cordebard,Anais,1652,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,4,4,16
F,Caras,Alysha,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,5,2,16
F,Cobb,Lily,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,6,1,16
F,Emmerson,Theresa,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,7,1,16
F,Ly,Janette,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Novice,8,1,16
L,Webb,Matt,207,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,1,5,12
L,Devereux,Thomas,1111,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,2,4,12
L,Charlesworth,John,1185,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,3,3,12
L,Austin,Brad,1584,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,4,2,12
L,Gallardo,Reggie,579,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,5,1,12
L,Ferguson,Jesse,227,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,6,0,12
L,Patterson,Brent,123,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,7,0,12
L,Smith,Jeff,99999,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,8,0,12
L,Kashack,Gene,930,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,9,0,12
L,Lahm,Arthur,117,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,10,0,12
L,Greer,Rocky,1310,10/19/2023,Paradise Festival,"Orange Co, CA",Intermediate,11,0,12
