Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Rivera,Diego,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,1,5,9
L,Liberman,Jonno,1599,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,2,4,9
L,Webb,Bradley,1540,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,3,3,9
L,Webb,Eli,1539,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,4,2,9
L,Santiago,Marcellus,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,5,1,9
L,Nelson,Steve,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,6,0,9
L,Ireland,Danny,679,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,7,0,9
L,Kahn,Brett,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,8,0,9
L,Rogers,Steve,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,9,0,9
F,Engel,Kaylee,1650,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,1,5,9
F,Furler,Ali,1815,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,2,4,9
F,Marians,Liza,1805,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,3,3,9
F,Vasquez,Angela,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,4,2,9
F,Daniels,Amy,717,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,5,1,9
F,Ledesma,Regina,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,6,0,9
F,Cordebrand,Anais,1652,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,7,0,9
F,Linahan,Taylor,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,8,0,9
F,McKenzie,April,1583,3/9/2024,High Desert Classic,"Lancaster, CA",Novice,9,0,9
L,Arkoff,Daniel,257,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,1,5,6
L,Ferguson,Jesse,227,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,2,4,6
L,Housego,Cliff,376,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,3,3,6
L,Webb,Matt,207,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,4,2,6
L,Gallardo,Reggie,579,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,5,1,6
L,Devereaux,Thomas,1111,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,6,0,6
F,Korver,Jenna,1221,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,1,5,6
F,Alcala,Jane,954,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,2,4,6
F,Webb,Camie,1068,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,3,3,6
F,Silva,Jenna,1315,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,4,2,6
F,Harwin,Lisa K,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,5,1,6
F,Hall,Andrea,99999,3/9/2024,High Desert Classic,"Lancaster, CA",Intermediate,6,0,6
