Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Lahm,Arthur,117,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,1,0,3
L,Brummett,Jesse,966,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,2,0,3
L,Lahm,Arthur,117,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,3,0,3
L,Saylors,David,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,4,0,3
L,Saylors,David,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,5,0,3
L,Brummett,Jesse,966,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,6,0,3
F,Rogers,Anna,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,1,5,12
F,Black,Erin,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,2,4,12
F,Roth,Hannah,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,3,3,12
F,Krauscheid,Karen,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,4,2,12
F,Reid,Lila,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,5,1,12
F,Robyn,April,99999,6/15/2024,Dance N Play,"Redmond, Oregon",Novice,6,0,12
