Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Emery,Dillon,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,1,10,16
L,Martz,Luke,1702,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,2,8,16
L,Rozas,Jack,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,3,6,16
L,Jackson,Lyric,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,4,4,16
L,Mize,Tyler,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,5,2,16
L,Morgan,Jonathan,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,6,1,16
L,Solberg,Cade,1876,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,7,1,16
L,Mowrey,Sean,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,8,1,16
L,Daviss,Bryson,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,9,1,16
L,McGregor,William,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,10,1,16
L,Wagner,Sean,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,11,0,16
F,Ware,Lacey,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,1,10,28
F,Maile,Robyn,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,2,8,28
F,Knudson,Brycelyn,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,3,6,28
F,Shelton,Sydnie,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,4,4,28
F,French,Tina,1653,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,5,2,28
F,Sandoz,Leah,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,6,1,28
F,Zamora,Kristie,1870,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,7,1,28
F,Jackson,Taylor,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,8,1,28
F,Breitling,Kathleen,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,9,1,28
F,Ho,Amanda,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,10,1,28
F,Cluett,Bayleigh,99999,7/27/2024,YESSS!!!,"Scottsdale, AZ",Novice,11,0,28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
