Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Bartlett,Joel,1578,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,1,5,7
L,Bartlett,Joel,1578,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,2,0,7
L,Cantwell,Alfred,1504,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,3,3,7
L,Van de Wetering,Miles,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,4,2,7
L,Stepenaskie,Paul,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,5,1,7
L,Pierce,Korben,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,6,0,7
L,Cantwell,Alfred,1504,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,7,0,7
L,Stepenaskie,Paul,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,8,0,7
L,Solberg,Cade,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,9,0,7
L,Datingaling,Exequiel,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,10,0,7
F,Navratil,Leia,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,1,5,10
F,Chavez,Alexis,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,2,4,10
F,Zamora,Kristie,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,3,3,10
F,French,Tina,1653,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,4,2,10
F,Banescu,Elizabeth,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,5,1,10
F,Parsel,Leslie,1654,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,6,0,10
F,Dupaix,Debbie,1567,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,7,0,10
F,Reis,Jan,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,8,0,10
F,Shotsky,Vikki,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,9,0,10
F,Andrews,Kristin,1571,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Novice,10,0,10
L,Bussen,Alayna,479,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,1,5,7
L,Webb,Matt,207,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,2,4,7
L,Housego,Cliff,376,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,3,3,7
L,Arkoff,Dan,257,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,4,2,7
L,Czechowski,Richard,444,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,5,1,7
L,Kashack,Gene,930,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,6,0,7
L,Gallardo,Reggie,579,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,7,0,7
F,Mollison,Sarah,99999,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,1,5,7
F,Harwin,Lisa Kay,1833,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,2,4,7
F,Webb,Camie,1068,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,3,3,7
F,Weathersbee,Burgundy,1573,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,4,2,7
F,Lorenz,Souraya,1318,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,5,1,7
F,Leon,Heather,1804,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,6,0,7
F,Shawl,Debi,194,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Intermediate,7,0,7
L,Bradchulis,Russ,887,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,1,0,4
L,Thompson,Joe,931,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,2,0,4
L,Ingenthron,Rob,453,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,3,0,4
L,Cauthen,James,164,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,4,0,4
F,Bussen,Alayna,479,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,1,0,4
F,Mendez,Felipa,1224,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,2,0,4
F,Grothe,Kathy,158,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,3,0,4
F,Yeo,Melody,320,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Advanced,4,0,4
L,Thompson,Joe,931,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,1,0,7
L,Kashack,Gene,930,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,2,0,7
L,Housego,Cliff,376,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,3,0,7
L,Cauthen,James,164,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,4,0,7
L,Arkoff,Dan,257,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,5,0,7
L,Czechowski,Richard,444,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,6,0,7
L,Gallardo,Reggie,579,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,7,0,7
F,French,Tina,1653,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,1,0,3
F,Harwin,Lisa Kay,1833,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,2,0,3
F,Grothe,Kathy,158,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,3,0,3
F,Harwin,Lisa Kay,1833,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,4,0,3
F,Grothe,Kathy,158,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,5,0,3
F,French,Tina,1653,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,6,0,3
F,Grothe,Kathy,158,8/3/2024,Arizona Dance Classic,"Phoenix, AZ",Masters,7,0,3
