Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Krautscheid,Karen,1858,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,1,5,7
F,McKensey,Erica,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,1,5,7
L,Lalone,Jim,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,2,4,7
F,Church,Cheryl,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,2,4,7
L,Geisinger,Keith,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,3,3,7
F,Black,Erin,1856,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,3,3,7
L,Young,Garth,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,4,2,7
F,DeWhitt,Mel,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,4,2,7
L,Brown,Jeff,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,5,1,7
F,Palmer,Lorraine,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,5,1,7
L,Palmer,Matt,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,6,0,7
F,Hawash,Debra,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,6,0,7
L,Mooney,Chris,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,7,0,7
F,Heard,Janet,99999,9/27/2024,Let's Dance Portland,"Portland, OR",Novice,7,0,7
