Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Morrison,Clay,1817,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,1,10,13
F,Jackson,Taylor,1891,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,1,10,17
L,Grove,Nathan,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,2,8,13
F,Hines,Stephanie,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,2,8,17
L,Rozas,Jack,1883,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,3,6,13
F,Rael,Nicolas,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,3,6,17
L,Emery,Dillon,1880,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,4,4,13
F,Hoff,Lauren,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,4,4,17
L,Morgan,Jonathan,1888,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,5,2,13
F,Triplett,Julia,1862,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,5,2,17
L,Wells-Cranshaw,Tanya,738,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,6,1,13
F,Padron,Blake,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,6,1,17
L,McKnight,Jackson,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,7,1,13
F,Ware,Lacey,1881,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,7,1,17
L,Morris,Zach,1260,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,8,1,13
F,Miller,Pamela,179,11/3/2024,Dallas Dance Festival,"Dallas, TX",Novice,8,1,17
L,Ingenthron,Rob,453,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,1,5,9
F,Casazza,Kristina,1507,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,1,5,7
L,Devereux,Thomas,1111,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,2,4,9
F,Moran,Rachel,1258,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,2,4,7
L,Reding,Jacob,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,3,3,9
F,Cummins,Krista,99999,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,3,3,7
L,Frankenberry,Chaz,1519,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,4,2,9
F,Nelson,Sequoia,1199,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,4,2,7
L,Kaiser,Justin,1645,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,5,1,9
F,Wells-Cranshaw,Tanya,738,11/3/2024,Dallas Dance Festival,"Dallas, TX",Intermediate,5,1,7
