Role,Last Name,First Name,Competitor ID,Event Date,Event Name,Event Location,Division,Result,Points,Num Entries
L,Quirion,Jeremy,99999,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,1,10,21
F,Varnado,Lily,1947,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,1,10,28
L,Kereszturi,Justin,2055,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,2,8,21
F,Thai,Stephenie,2003,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,2,8,28
L,Collins,David,644,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,3,6,21
F,D'Auteuil,Samira,99999,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,3,6,28
L,Mowrey,Sean,1890,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,4,4,21
F,Miller,Pamela,179,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,4,4,28
L,Harris,Zachary,1518,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,5,2,21
F,Alonso,Daniela,99999,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,5,2,28
L,Griffin,Todd,99999,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,6,1,21
F,Navarra,Maria,2082,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,6,1,28
L,Lipscomb,Anthony,1912,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,7,1,21
F,Ly,Janette,1809,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Novice,7,1,28
L,Leija,Augie,2010,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,1,5,12
F,Young,Krista,1913,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,1,10,15
L,Morgan,Jonathan,1888,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,2,4,12
F,Cummins,Krista,1929,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,2,8,15
L,Frankenberry,Chaz,1519,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,3,3,12
F,Huhta,Olivia,1949,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,3,6,15
L,Morland,Doug,594,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,4,2,12
F,Weathersbee,Burgundy,1573,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,4,4,15
L,Skredsvig,Haley,176,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,5,1,12
F,Korver,Jenna,1221,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,5,2,15
L,Smith,Jeff,1810,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,6,0,12
F,Casazza,Kristina,1507,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,6,1,15
L,Goode,Gary,995,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,7,0,12
F,Freeman,Cheyana,1997,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Intermediate,7,1,15
L,Varney,Adam,796,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,1,5,6
F,Skredsvig,Haley,176,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,1,5,9
L,Devereux,Thomas,1111,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,2,4,6
F,Lucas,Carrie,1065,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,2,4,9
L,Miller,David,919,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,3,3,6
F,Halladay,Mindy,274,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,3,3,9
L,Ingenthron,Rob,453,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,4,2,6
F,Brown,Cheryl,825,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,4,2,9
L,Kaiser,Justin,1645,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,5,1,6
F,Grothe,Kathy,158,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,5,1,9
L,Walkup,David,136,1/2/2026,UCWDC Worlds,"Phoenix, AZ",Advanced,6,0,6
